PROJECT_ID,COHORTTRM_DESC,CH_ENRLTYPE,CHRTTYPE,CRSLOAD,GRAD_YRS,BESTMATH,BESTENGL,BESTCOMP,HS_ACAD_AVG,HS_OVERALL_AVG,AGE_MONTHS,GENDER,FOREIGN,COUNTRY_DESC,LA_RESIDENT,HOMEZIPCODE,EXP_FAM_CONTRIB,INCOME,FIRST_GEN_FLAG,PELL,TOPS,ATHLETE,GREEK_ENTRY,VETERAN_STATUS,HS_TOP_10,HS_TOP_25,HS_TOP_50,HS_BOTTOM_25,HS_BOTTOM_50,CH_CURRICULUM_1,CH_COLLEGE_1,CH_CURRIC_COLLEGE,YR1_FALL_ON_CAMPUS,YR1_SPRING_ON_CAMPUS,YR2_FALL_ON_CAMPUS,YR2_SPRING_ON_CAMPUS,YR3_FALL_ON_CAMPUS,YR3_SPRING_ON_CAMPUS,YR4_FALL_ON_CAMPUS,YR4_SPRING_ON_CAMPUS,YR5_FALL_ON_CAMPUS,YR5_SPRING_ON_CAMPUS,YR6_FALL_ON_CAMPUS,YR6_SPRING_ON_CAMPUS,YR7_FALL_ON_CAMPUS,YR7_SPRING_ON_CAMPUS,YR8_FALL_ON_CAMPUS,YR8_SPRING_ON_CAMPUS,YR1_FALL_SEM_GPA,YR1_SPRING_SEM_GPA,YR2_FALL_SEM_GPA,YR2_SPRING_SEM_GPA,YR3_FALL_SEM_GPA,YR3_SPRING_SEM_GPA,YR4_FALL_SEM_GPA,YR4_SPRING_SEM_GPA,YR5_FALL_SEM_GPA,YR5_SPRING_SEM_GPA,YR6_FALL_SEM_GPA,YR6_SPRING_SEM_GPA,YR7_FALL_SEM_GPA,YR7_SPRING_SEM_GPA,YR8_FALL_SEM_GPA,YR8_SPRING_SEM_GPA,YR1_FALL_LSU_GPA,YR1_SPRING_LSU_GPA,YR2_FALL_LSU_GPA,YR2_SPRING_LSU_GPA,YR3_FALL_LSU_GPA,YR3_SPRING_LSU_GPA,YR4_FALL_LSU_GPA,YR4_SPRING_LSU_GPA,YR5_FALL_LSU_GPA,YR5_SPRING_LSU_GPA,YR6_FALL_LSU_GPA,YR6_SPRING_LSU_GPA,YR7_FALL_LSU_GPA,YR7_SPRING_LSU_GPA,YR8_FALL_LSU_GPA,YR8_SPRING_LSU_GPA,YR1_FALL_CUM_GPA,YR1_SPRING_CUM_GPA,YR2_FALL_CUM_GPA,YR2_SPRING_CUM_GPA,YR3_FALL_CUM_GPA,YR3_SPRING_CUM_GPA,YR4_FALL_CUM_GPA,YR4_SPRING_CUM_GPA,YR5_FALL_CUM_GPA,YR5_SPRING_CUM_GPA,YR6_FALL_CUM_GPA,YR6_SPRING_CUM_GPA,YR7_FALL_CUM_GPA,YR7_SPRING_CUM_GPA,YR8_FALL_CUM_GPA,YR8_SPRING_CUM_GPA,YR1_FALL_CUM_HRS_CARR,YR1_SPRING_CUM_HRS_CARR,YR2_FALL_CUM_HRS_CARR,YR2_SPRING_CUM_HRS_CARR,YR3_FALL_CUM_HRS_CARR,YR3_SPRING_CUM_HRS_CARR,YR4_FALL_CUM_HRS_CARR,YR4_SPRING_CUM_HRS_CARR,YR5_FALL_CUM_HRS_CARR,YR5_SPRING_CUM_HRS_CARR,YR6_FALL_CUM_HRS_CARR,YR6_SPRING_CUM_HRS_CARR,YR7_FALL_CUM_HRS_CARR,YR7_SPRING_CUM_HRS_CARR,YR8_FALL_CUM_HRS_CARR,YR8_SPRING_CUM_HRS_CARR,YR1_FALL_CUM_HRS_EARN,YR1_SPRING_CUM_HRS_EARN,YR2_FALL_CUM_HRS_EARN,YR2_SPRING_CUM_HRS_EARN,YR3_FALL_CUM_HRS_EARN,YR3_SPRING_CUM_HRS_EARN,YR4_FALL_CUM_HRS_EARN,YR4_SPRING_CUM_HRS_EARN,YR5_FALL_CUM_HRS_EARN,YR5_SPRING_CUM_HRS_EARN,YR6_FALL_CUM_HRS_EARN,YR6_SPRING_CUM_HRS_EARN,YR7_FALL_CUM_HRS_EARN,YR7_SPRING_CUM_HRS_EARN,YR8_FALL_CUM_HRS_EARN,YR8_SPRING_CUM_HRS_EARN,AC_ACT1,AC_ACT2,AC_ACT3,AC_ACT4,AC_ACT5,AC_ACT6,AC_ACT7,AC_ACT8,AC_ACT9,AC_ACT10,AC_ACT11,AC_ACT12,AC_ACT13,AC_ACT14,AC_ACT15,AC_ACT16,SLATE_HS_TYPE
9519765,Fall 2018,Campus,F,Full-time,4.0,19.0,23.0,,3.45,3.61,218,F,,United States,1.0,70360,0.0,,N,1,1,,0,N,,,1.0,,,PPT,UCFY,UCAC,Y,Y,,,,,,,,,,,,,,,3.286,3.187,4.0,,,,,,,,,,,,,,1.06,3.731,2.338,,,,3.912,,,,,,,,,,3.664,1.875,2.6,,,,,,,,,,,,,,44.0,54.0,39.0,59.0,39.0,100.0,,,,,,,,,,,7.0,,36.0,,66.0,164.0,88.0,134.0,,,,,,,,,Good,Good,Good,Good,Good,Good,,,,,,,,,,,Public
828388,Fall 2013,Campus,F,Full-time,,26.0,30.0,22.0,3.95,3.0,222,M,,United States,,27513,,118386.0,U,0,1,,0,N,,1.0,1.0,,,UNSE,UCFY,UCFY,Y,Y,,,,,,,,,,,,,,,4.0,,3.581,,1.68,1.966,2.525,,0.21,,,,,,,,2.575,,3.67,3.357,,,,,,,,,,,,,3.56,,3.618,3.5,,,,,,,,,,,,,24.0,120.0,45.0,,72.0,110.0,143.0,113.0,,,,,,,,,35.0,68.0,,71.0,,117.0,,,,,,,,,,,Good,Good,,,Good,Good,Good,Good,Good,,,,,,,,Public
3189978,Fall 2021,Campus,F,Full-time,,28.0,,18.0,3.68,3.24,296,F,,United States,1.0,70806,12380.0,196168.0,Y,0,1,,0,N,,,1.0,,1.0,HIST,UCFY,HSS,Y,Y,,,,,,,,,,,,,,,,1.766,2.08,,3.538,,3.238,,,1.71,,,,,,,1.5,1.922,,3.8,3.824,2.821,,,2.485,,,,,,,,4.128,,3.866,3.678,,3.982,,,2.833,,,,,,,,26.0,45.0,46.0,,72.0,120.0,,120.0,,,,,,,,,33.0,,76.0,,,84.0,,146.0,,,,,,,,,Good,,,Good,Good,Good,Good,Good,,,Good,,,,,,Public
7396383,Fall 2023,Campus,T,Full-time,5.0,,29.0,27.0,3.48,,218,F,,United States,1.0,70092,174.0,3260.0,Y,0,1,,0,N,,,,,,SPADM,UCFY,HSE,Y,Y,,,,,,,,,,,,,,,2.66,,,0.0,3.48,3.2,2.976,,,,,,,,,,1.817,2.44,2.323,3.651,2.594,,2.111,,2.966,,2.277,,,,,,2.742,0.623,,,2.98,,,,2.622,,,,,,,,18.0,43.0,46.0,,,92.0,,128.0,79.0,,,,,,,,22.0,,63.0,36.0,,,,,,,126.0,,,,,,Good,Good,Good,Good,,Good,,,,,,,,,,,Public
2129385,Fall 2014,Campus,F,Full-time,,24.0,21.0,22.0,3.43,3.32,228,M,,United States,1.0,70343,118046.0,289349.0,U,0,0,,0,N,,,,,,IS,UCFY,HSS,N,Y,,,,,,,,,,,,,,,,2.333,3.825,3.0,2.25,,,,,,,,,,,,3.083,3.0,4.104,,2.732,3.413,,3.088,,,,,,,,,0.333,1.696,2.178,3.588,,,1.297,,,,,,,,,,45.0,165.0,45.0,71.0,74.0,,,,,,,,,,,,75.0,51.0,,,139.0,96.0,,,,,,,,,,,Good,Good,,Good,Warn,Good,,,,,,,,,,,
9995385,Fall 2020,Online,F,Full-time,2.0,19.0,21.0,33.0,3.46,,222,F,,United States,1.0,70820,2930.0,5325.0,U,0,0,,0,N,,1.0,,,,PART,ADSN,ADSN,Y,,,,,,,,,,,,,,,,2.35,2.307,1.66,3.925,2.54,,2.72,2.716,3.0,,,,,,,,1.0,3.01,3.035,,2.647,2.787,,,,,,,,,,,3.113,2.75,2.903,3.549,3.573,,,,3.299,,,,,,,,43.0,28.0,38.0,,,,110.0,,,,,,,,,,34.0,62.0,141.0,63.0,,,,,123.0,,,,,,,,Good,Good,Warn,Good,Good,Good,Good,,,,,,,,,,Public
787994,Fall 2021,Campus,T,Full-time,,32.0,24.0,23.0,3.55,2.64,221,M,,United States,1.0,70809,,32650.0,N,0,1,,0,Y,1.0,,1.0,,,SOCL,UCFY,HSS,Y,,,,,,,,,,,,,,,,3.718,3.947,3.28,2.0,,,3.756,,,,,,,,,,3.541,2.92,2.92,3.324,,4.135,,2.866,,3.051,,,,,,,2.412,2.87,4.058,3.5,,3.131,,,,,,,,,,,29.0,33.0,58.0,27.0,71.0,,,133.0,,178.0,,,,,,,81.0,29.0,60.0,71.0,81.0,,111.0,116.0,,,,,,,,,Good,,Good,,,Warn,,,,,,,,,,,Religious
1757317,Fall 2023,Campus,F,Full-time,8.0,28.0,21.0,31.0,3.16,3.5,220,F,,United States,1.0,70769,28044.0,,Y,1,1,,0,N,,,,,1.0,PBADM,UCAC,UCAC,N,,,,,,,,,,,,,,,,2.538,3.571,3.392,2.061,2.6,3.92,2.74,,,,,,,,,,3.0,,2.878,,2.708,3.272,4.168,,,,,,,,,,2.307,3.268,3.768,2.941,2.405,3.935,,,,2.172,,,,,,,12.0,39.0,47.0,54.0,128.0,126.0,103.0,122.0,,,,,,,,,36.0,38.0,79.0,96.0,,,,140.0,113.0,,,,,,,,Good,Good,,,Good,,Good,,,,,,,,,,Religious
5102512,Fall 2011,Campus,F,Full-time,,22.0,35.0,,3.65,3.13,231,F,,United States,1.0,70811,46246.0,45322.0,N,0,0,,0,N,1.0,,1.0,,1.0,CM,UCFY,ENGR,Y,Y,,,,,,,,,,,,,,,2.0,,3.75,4.0,,3.06,,,,,,,,,,,3.625,3.0,1.778,,,2.587,,,,,,,,,,,3.642,2.588,2.527,,,3.029,2.561,,3.148,,,,,,,,21.0,30.0,48.0,121.0,,,,,,,,,,,,,18.0,23.0,,,,,127.0,114.0,120.0,,,,,,,,Good,Good,Good,,,Good,,,,,,,,,,,Religious
808712,Fall 2018,Campus,F,Full-time,,24.0,19.0,24.0,3.45,3.67,225,F,,United States,,77494,11957.0,37670.0,N,1,0,,0,N,,,,,,ME,UCFY,ENGR,Y,N,,Y,Y,,,,,,,,,,,,3.0,2.857,3.48,3.0,3.75,2.94,3.914,,,,,,,,,,,,,2.885,2.214,,3.209,3.048,,,,,,,,,3.936,,3.101,3.56,2.412,,2.546,3.0,,,,,,,,,14.0,105.0,52.0,63.0,108.0,131.0,100.0,,,,,,,,,,50.0,82.0,43.0,51.0,77.0,,105.0,125.0,,,,,,,,,Warn,Good,Good,Good,Good,Good,,,,,,,,,,,Charter
9187393,Fall 2015,Campus,F,Full-time,,23.0,,29.0,,3.93,217,F,,United States,,34773,0.0,148885.0,N,0,0,,0,N,,,1.0,,,PART,ADSN,ADSN,Y,,,,,,,,,,,,,,,,2.666,3.825,3.5,,,3.675,3.272,,,3.76,,,,,,,3.0,2.75,2.066,,,3.567,2.198,2.611,,,,,,,,,,3.69,3.943,2.07,,,,3.38,,,,2.201,,,,,92.0,28.0,,75.0,,,114.0,,,,,,,,,,,60.0,43.0,60.0,77.0,,,94.0,,,,,,,,,Warn,Good,Good,,,,Good,Good,,,,,,,,,Public
912483,Fall 2012,Campus,F,Full-time,5.0,24.0,31.0,24.0,3.02,4.0,222,M,,United States,,92677,22422.0,50017.0,Y,1,0,,1,N,,1.0,1.0,,1.0,BE,UCFY,ENGR,,Y,,,,,,,,,,,,,,,2.6,2.6,4.0,,,,3.525,,,,,,,,,,0.815,2.712,2.351,,2.075,,,3.372,,,,,,,,,1.29,,3.624,1.64,2.388,2.863,,,3.258,,,,,,,,12.0,30.0,41.0,,82.0,81.0,,,,,,,,,,,23.0,32.0,,,,146.0,73.0,,,,,,,,,,Good,Good,Good,,Good,,,,,,,,,,,,Religious
417542,Fall 2017,Campus,T,Full-time,4.0,26.0,20.0,27.0,3.48,3.43,219,M,,United States,1.0,70767,2730.0,100723.0,N,1,0,,0,N,,,1.0,,,UNSE,UCFY,UCFY,Y,Y,,,,,,,,,,,,,,,3.092,2.614,3.51,1.35,,,3.812,3.0,,,,,,,,,2.584,2.04,3.076,,,,,3.517,,,,,,,,,2.5,2.911,2.649,,,2.863,,,3.094,,,,,,,,,28.0,43.0,,148.0,,,85.0,,,,,,,,,25.0,27.0,63.0,68.0,,,103.0,,,,,,,,,,Good,Good,Good,,Good,Good,,,Good,Good,,,,,,,Public
9252983,Fall 2020,Campus,F,Full-time,5.0,17.0,21.0,,,4.0,216,F,,United States,1.0,70541,,,N,0,1,,1,N,,,1.0,,,CHEM,UCFY,SCI,N,Y,,,,,,,,,,,,,,,3.221,0.0,3.0,4.0,3.421,,3.015,,,,,,,,,,2.34,1.368,3.822,3.647,,,,3.445,,,,,,,,,3.575,3.031,2.054,2.418,3.508,2.869,3.719,3.008,,,,,,,,,17.0,31.0,,85.0,70.0,113.0,,127.0,,,,,,,,,10.0,36.0,,56.0,,,80.0,,,,,,,,,,Good,Good,,Good,,Good,Good,,,,,,,,,,Public
8120484,Fall 2022,Campus,F,Full-time,,22.0,21.0,18.0,3.93,3.89,221,F,,United States,1.0,81623,32502.0,,N,1,1,,0,N,,,1.0,,,MC,UCFY,MCOM,Y,,,,,,,,,,,,,,,,3.727,3.826,2.786,,,,4.128,,,3.1,,,,,,,2.307,1.993,2.413,3.403,3.3,2.573,,3.701,,,,,,,,,2.5,3.172,3.328,3.911,,4.114,3.864,,,,,,,,,,28.0,51.0,64.0,,74.0,82.0,105.0,,,,,,,,,,50.0,48.0,56.0,,,120.0,90.0,,143.0,,,,,,,,Good,Good,Good,Good,,,Good,,,,,,,,,,Public
5553615,Fall 2014,Campus,F,Full-time,5.0,26.0,33.0,34.0,3.52,3.87,219,F,,United States,1.0,70817,31253.0,46782.0,N,0,1,,1,N,,,1.0,,,AGBU,AGRI,AGRI,Y,Y,,,,,,,Y,,,,,,,,2.923,2.5,3.076,3.083,3.221,3.6,2.675,,,,,,,,,,2.883,0.0,1.854,1.914,,,,3.537,,,,,,,,,3.444,2.465,2.135,2.526,2.25,,3.377,3.177,,,,,,,,,33.0,,43.0,61.0,92.0,,99.0,,,,,,,,,,64.0,44.0,139.0,53.0,121.0,,,,,,,,,,,,Good,Good,Good,,Good,,,Good,,,,,,,,,Religious
6020927,Fall 2018,Campus,F,Full-time,,24.0,35.0,31.0,3.42,3.64,223,F,,United States,1.0,70769,355985.0,14637.0,N,0,1,,0,N,,1.0,1.0,,1.0,EVEG,UCFY,ENGR,Y,Y,,,,,,,,,,,,,,,3.74,3.466,3.575,,2.925,4.12,,3.825,,,,,,,,,0.75,2.63,2.025,2.0,,2.651,3.223,,,,,,,,,,4.0,3.24,3.418,,2.577,,2.387,,,,,,,,,,15.0,36.0,39.0,74.0,74.0,77.0,,,,,,,,,,,40.0,24.0,59.0,100.0,,,,,140.0,,,,,,,,Good,Good,Good,Good,Good,,,,,,Good,,,,,,Public
5784044,Fall 2016,Campus,F,Full-time,,17.0,27.0,23.0,3.39,3.72,221,F,,United States,,30030,162637.0,140501.0,U,1,1,,0,N,1.0,1.0,,,,ATRN,UCFY,HSE,Y,,Y,,,,,Y,,,,,,,,,3.0,3.593,4.01,4.12,,,,,,,3.62,,,,,,4.0,3.961,2.244,2.354,,,2.49,,3.587,,,,,,,,3.0,2.321,3.883,,,,4.115,,,2.461,,,,,,,,,42.0,62.0,76.0,84.0,,,,,,,,,,,33.0,,56.0,98.0,84.0,78.0,,,122.0,120.0,,,,,,,Good,,Good,Good,Good,,,,,,,,,,,,Public
3255965,Fall 2012,Campus,F,Full-time,,25.0,31.0,32.0,3.91,2.82,220,M,,United States,,39110,24689.0,950180.0,Y,1,0,,0,N,,1.0,,,,KIN,UCFY,HSE,Y,Y,,,,,,,,,,,,,,,,2.666,3.72,,2.72,,,,,,,2.9,,,,,2.333,3.09,4.162,4.24,,2.684,,,2.763,2.232,,,,,,,3.8,4.061,3.643,4.04,3.987,3.002,2.654,,2.067,,,,,,,,15.0,,45.0,74.0,75.0,,104.0,,,,,,,,,,3.0,53.0,103.0,,,,112.0,114.0,,118.0,,,,111.0,,,Good,Good,Good,,Good,Good,,,Good,,,,,,,,Religious
8472825,Fall 2020,Campus,T,Full-time,4.0,23.0,,22.0,3.71,3.74,222,M,,United States,1.0,70820,,105646.0,N,0,1,,0,N,,1.0,1.0,,,PNURS,UCFY,UCAC,,,,,,,,,,,,,,,,,1.937,,2.585,0.0,3.6,0.0,,,,,2.725,,3.06,,,,,2.566,3.891,,2.368,,,3.461,,2.127,,,,,,,2.906,2.5,,3.3,3.349,3.711,,3.071,,,,,,,,,18.0,27.0,59.0,,,,111.0,98.0,,,,,,,,,23.0,50.0,48.0,78.0,82.0,,125.0,,,,,,,,,,Good,Good,Good,Good,Good,,,,,,,,,,,,Public
8249670,Fall 2014,Campus,F,Full-time,,22.0,25.0,21.0,3.04,,218,F,,United States,,19153,29210.0,133876.0,Y,0,1,,0,N,,,,1.0,,PETE,UCFY,ENGR,Y,Y,,,,,,,,,,,,,,,4.22,,2.325,,,3.769,3.082,,3.175,,,,,,,,0.766,1.833,4.0,3.601,,,3.179,,,,,,,,,,3.088,1.8,1.692,1.69,3.958,3.0,2.754,3.1,,,,,,,,,97.0,22.0,,,73.0,79.0,116.0,,,,,,,,,,31.0,45.0,56.0,127.0,198.0,105.0,107.0,,,,,,,164.0,,,Good,,Warn,,,Good,Good,Good,,,,,,,,,Religious
1309588,Fall 2019,Campus,F,Full-time,5.0,24.0,21.0,30.0,3.52,3.87,217,F,,United States,1.0,701226406,67535.0,200849.0,N,0,1,,1,Y,,1.0,1.0,,,CHE,UCFY,ENGR,Y,Y,,,,,,,,,,,,,,,,2.85,4.0,,3.215,,4.171,,,2.25,,,,,,,3.6,1.671,3.197,,3.294,,3.033,,,,1.758,,,,,,3.684,1.0,3.297,,2.903,,,2.458,,,,,,,,,37.0,30.0,,,83.0,,,,,,,,,,,,,33.0,,60.0,,92.0,,,,,,,,,,,Good,Good,Good,,,,,Good,,,,,,,,,Religious
1383682,Fall 2011,Campus,F,Full-time,,27.0,27.0,,,2.72,208,F,,United States,1.0,70460,189862.0,201763.0,N,0,0,,1,N,,1.0,,,,CE,UCFY,ENGR,Y,Y,,,,,,,,,,,,,,,,2.492,,3.92,4.006,3.375,,,,,,,,,,,3.966,1.23,3.266,3.79,3.861,3.18,,,2.433,,2.962,,,,,,3.363,3.0,3.594,3.66,,,3.526,,,,,,,,,,13.0,59.0,42.0,61.0,78.0,,,120.0,,,,,,,,,32.0,91.0,48.0,,87.0,,,,113.0,,,,,,,,Good,Good,Good,,,,Good,,Good,,,,,,,,Public
8711268,Fall 2013,Campus,F,Full-time,,25.0,25.0,20.0,3.55,3.24,219,F,,United States,1.0,70737,0.0,,N,0,0,,0,N,,,1.0,,,ME,UCFY,ENGR,N,Y,Y,,,,,,,,,,,,,,4.0,3.74,,3.26,4.05,2.75,2.72,,,,,,,,,,2.5,3.33,,3.018,3.431,2.541,,2.9,,3.462,2.466,,,,,,2.93,2.762,3.007,3.548,2.8,3.367,,,,,2.502,,,,,,13.0,12.0,36.0,,88.0,87.0,108.0,120.0,,,,,,,,,22.0,29.0,41.0,93.0,89.0,132.0,150.0,,,,,,,,,,Good,Good,Good,Good,,Good,Good,,,,,,,,,,Religious
134967,Fall 2011,Campus,F,Full-time,5.0,23.0,,30.0,2.86,,221,F,,United States,,20817,9815.0,,N,0,1,,0,N,,,,,,THTR,MDA,MDA,N,,,Y,,,,,,,,,,,,,2.175,2.0,2.5,3.5,,2.25,,,,,,,,,,,3.0,1.88,4.093,3.73,4.02,2.709,,2.897,,,,,,,,,2.5,3.534,,3.418,3.972,3.365,,,1.823,,,,,,,,14.0,32.0,95.0,55.0,,94.0,120.0,,,,,,,,,,,63.0,76.0,123.0,96.0,79.0,,,,,,,,,,,Good,Good,Good,Good,Good,,,Good,,,,,,,,,Religious
5825664,Fall 2015,Campus,F,Full-time,,24.0,,31.0,3.11,,225,F,,United States,1.0,70706,4396.0,84056.0,N,0,0,,0,N,,1.0,,,,BCH,UCFY,SCI,Y,Y,,,,,,,,,,,,,,,3.106,2.34,1.75,4.0,3.005,,,,,,,,,,,,3.187,2.857,3.402,,2.781,3.541,,3.27,,,,,,,,,3.28,3.551,3.167,,2.59,,,,,,,,,,,,9.0,32.0,24.0,,72.0,,132.0,125.0,,,,,,,,,12.0,40.0,,57.0,75.0,,105.0,111.0,,,,,,,,,Prob,Warn,Prob,,Good,,,,,,Good,,,,,,Religious
8494332,Fall 2021,Campus,F,Full-time,4.0,20.0,31.0,21.0,2.92,3.3,235,M,,United States,,92020,260881.0,0.0,N,0,1,,1,N,,1.0,,,1.0,NREM,AGRI,AGRI,Y,Y,,,,,,,,,,,,,,,2.923,3.923,1.0,2.0,3.075,3.42,,,2.94,,,,,,,,3.213,2.333,3.839,3.061,3.788,3.773,,3.13,,,,,,,,,4.3,2.588,,2.459,,2.792,3.118,,,,,,,,,,36.0,48.0,,,78.0,,85.0,,,,,,,,,,16.0,24.0,46.0,51.0,,,,,,,,,,,,,Good,Good,Good,Good,Warn,Good,,,,,,,,,,,Independent
6150351,Fall 2023,Campus,F,Full-time,,24.0,30.0,20.0,3.09,4.0,373,M,,United States,1.0,70072,0.0,195700.0,Y,0,1,,0,N,,1.0,,,1.0,PSYCS,UCFY,HSS,N,,,,,,,,,,,,,,,,2.064,2.75,4.0,,,3.975,,,,,,,,,,,3.812,,3.114,2.25,,4.063,3.285,,,,,,,,,,3.952,,4.231,3.504,2.673,,3.36,3.045,,,,,,,,,13.0,28.0,55.0,,63.0,,131.0,,122.0,,,,,,,,12.0,30.0,63.0,65.0,87.0,,95.0,,,,,,,,,,Good,,Good,Good,Good,,Good,,,,,,,,,,Public
1603242,Fall 2012,Campus,F,Full-time,4.0,23.0,33.0,22.0,3.11,3.82,219,F,,United States,1.0,70065,0.0,9252.0,N,0,1,,0,N,1.0,1.0,1.0,,,CHEM,UCFY,SCI,,Y,,,,,,,,,,,,,,,3.618,3.852,3.116,3.7,3.675,2.812,,,2.5,,,,,,,,2.25,3.7,3.17,,,2.669,,,,,,,,,,,2.666,1.837,2.177,2.868,,1.987,3.139,,,,,,,,,,16.0,54.0,60.0,,81.0,114.0,,,,,,,,,,,28.0,36.0,50.0,69.0,135.0,,,78.0,134.0,,,,,,,,Good,,Good,Good,Good,Good,Good,Good,,,,Good,,,,,Religious
6331259,Fall 2015,Campus,F,Full-time,3.0,27.0,23.0,31.0,,,216,F,,United States,1.0,70466,,53793.0,N,1,1,,1,N,,,1.0,,,CSC,UCFY,ENGR,Y,Y,,,,,,,,,,,,,,,3.0,3.461,3.625,2.0,1.621,2.66,3.231,,,,,,,,,,2.83,1.5,1.9,,,,2.335,3.994,2.323,,,,,,,,3.0,3.267,3.221,,2.919,,2.781,2.73,,,,,,,2.651,,25.0,28.0,56.5,77.0,,,,117.0,,,,,,,,,30.0,,55.0,48.0,93.0,,96.0,,,,,,,,,,Prob,,Good,Good,Good,Good,Good,Good,,,,,,,,,Public
8690008,Fall 2014,Campus,F,Full-time,,20.0,14.0,26.0,3.77,3.87,234,F,,United States,1.0,70360,,275498.0,N,0,1,,0,N,,,1.0,,,PNURS,UCFY,UCAC,N,,,,,,,,,,,,,,,,3.0,0.0,3.75,,3.28,,,,,,,,,,,,3.3,,,2.744,,3.051,,,2.476,,,,,,,,3.55,2.788,4.058,3.077,,4.037,,2.932,,,,3.012,,,,,16.0,58.0,,56.0,77.0,165.0,,,130.0,,,,,,,,85.0,60.0,54.0,36.0,,120.0,,114.0,,115.0,,,,,,,Good,,Good,Good,,Good,Good,,Good,,,,,,,,Religious
5725368,Fall 2022,Campus,F,Full-time,,25.0,28.0,26.0,3.38,3.85,225,M,,United States,1.0,70809,27365.0,,N,1,0,,0,N,,,,,,SPADM,UCFY,HSE,N,Y,,,,Y,,,,,,,,,,,2.88,2.054,3.952,3.492,2.766,2.96,3.94,,,,,,,,,,3.6,3.583,3.968,2.254,,3.168,,3.496,,,,,,,,,2.307,,4.132,2.437,,2.53,3.708,3.565,,,,,,,,,14.0,32.0,,62.0,,211.0,,,,,,,,,,,49.0,,36.0,48.0,84.0,129.0,116.0,,126.0,,,,,,,,Good,Good,Good,,Good,,Good,,,,,,,,,,Charter
5244211,Fall 2020,Campus,F,Full-time,,29.0,21.0,23.0,4.0,3.7,226,F,,United States,1.0,70810,0.0,22957.0,N,1,1,,0,N,,,1.0,,,BIOL,UCFY,SCI,N,Y,,,,,,,,,,,,,,,2.812,2.769,2.75,4.18,3.242,0.838,,,,,,,,,,,3.562,3.11,,4.145,,3.393,3.935,2.651,,,,,,,,,3.775,2.666,3.003,2.738,,2.747,,3.901,,,,,,,,,34.0,47.0,57.0,56.0,78.0,87.0,,,,,,,,,,,36.0,,62.0,,,,,,117.0,,,,,,,,Good,,Good,Good,Good,,,,,,,,,,,,Public
9306325,Fall 2015,Campus,F,Full-time,,19.0,34.0,22.0,3.17,,222,F,,United States,1.0,707694264,8909.0,197214.0,N,1,1,,0,N,,,1.0,,1.0,KIN,UCFY,EDUC,N,,,,,,,,,,,,,,,,3.464,3.769,3.271,,3.733,4.12,,,,,,,,,,,0.0,3.496,2.93,3.623,,,3.922,,,,,,,,,,2.105,3.52,,2.87,3.801,,,,,,,,,,,,41.0,74.0,,58.0,36.0,86.0,102.0,92.0,,,,,,,,,81.0,49.0,,,111.0,,,,,,,,,,,,Good,Good,Good,Good,,,,,Prob,,,,,,,,Public
1731914,Fall 2020,Campus,F,Full-time,4.0,24.0,26.0,25.0,2.15,3.76,216,F,,United States,,30052,61205.0,201.0,N,0,0,,0,N,,1.0,1.0,,,MC,UCFY,MCOM,N,Y,,,,Y,,,,,,,,,,,3.78,4.0,,2.025,,1.692,2.06,3.825,,,,,,,,,3.356,3.764,3.515,2.578,3.209,,3.629,2.838,,,,,,,,,3.59,3.487,,3.101,3.34,,2.582,,,,,,,,,,16.0,30.0,62.0,75.0,,56.0,,134.0,,,,,,,,,,31.0,,75.0,,120.0,111.0,,,,,,,,,,Good,Good,Good,,Good,,Good,Good,,,,,,,,,Public
7204618,Fall 2012,Campus,F,Full-time,,21.0,,28.0,3.05,2.72,221,F,,United States,1.0,70810,0.0,89286.0,N,0,0,,0,N,,1.0,,,,PSYCS,UCFY,HSS,N,Y,,,,,,,,,,,,,,,,2.868,3.8,3.337,,,,,,3.5,,,,,,,2.166,,3.289,3.368,2.687,4.007,,,,,,,,,,,0.25,,3.353,3.398,3.17,,,,,,,,,,,,17.0,38.0,,56.0,79.0,,,,133.0,,,,,,,,25.0,25.0,46.0,,,119.0,,135.0,,,,,,,,,Good,Good,Good,,,,,Good,,,,,,,,,Religious
9275921,Fall 2013,Campus,F,Full-time,4.0,18.0,29.0,23.0,3.92,3.46,222,M,,United States,1.0,701151141,28502.0,97803.0,N,0,0,,0,N,,1.0,1.0,,,KIN,UCFY,HSE,Y,Y,,,,,,,,,,,,,,,1.85,4.15,2.625,,3.012,2.775,4.0,3.362,,1.0,,,,,,,0.65,2.648,,,3.096,3.453,,2.88,,3.282,,,,,,,3.552,2.793,,2.532,2.662,,3.617,4.036,,,,,,,,,17.0,,75.0,60.0,75.0,,104.0,120.0,,,,,,,,,28.0,61.0,53.0,50.0,,71.0,,,,,,,,,,,,Good,,,Good,Good,,,,,,,,,,,Public
